Gene stable ID,Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene type
ENSG00000225661,RPL14P5,1008503,1010101,X,processed_pseudogene
ENSG00000235039,MTND6P12,5168918,5169439,X,processed_pseudogene
ENSG00000238193,HADHBP1,5305714,5307128,X,processed_pseudogene
ENSG00000236188,PRKX-AS1,3659487,3668192,X,lncRNA
ENSG00000228572,,253743,255091,X,unprocessed_pseudogene
ENSG00000236513,,4627200,4633572,X,lncRNA
ENSG00000225574,DRAXINP1,8783514,8784461,X,processed_pseudogene
ENSG00000177504,VCX2,8169944,8171267,X,protein_coding
ENSG00000231619,ANAPC15P1,8856665,8857059,X,processed_pseudogene
ENSG00000231216,GS1-600G8.3,13310652,13319933,X,lncRNA
ENSG00000225271,NOLC1P1,8980425,8982505,X,processed_pseudogene
ENSG00000237730,RPS5P8,6422092,6422701,X,processed_pseudogene
ENSG00000226313,MTCYBP12,5169512,5170645,X,processed_pseudogene
ENSG00000182888,RPS27AP20,3717149,3717600,X,processed_pseudogene
ENSG00000215313,RPL6P30,16198428,16199289,X,processed_pseudogene
ENSG00000125363,AMELX,11293413,11300761,X,protein_coding
ENSG00000223571,DHRSX-IT1,2334295,2336410,X,lncRNA
ENSG00000169084,DHRSX,2219506,2502805,X,protein_coding
ENSG00000231913,RARRES2P3,21421822,21422294,X,processed_pseudogene
ENSG00000275194,FAM9CP1,11221348,11225731,X,unprocessed_pseudogene
ENSG00000225722,RPL24P9,3953056,3953561,X,processed_pseudogene
ENSG00000177138,FAM9B,9024232,9295682,X,protein_coding
ENSG00000226774,HIKESHIP1,23351013,23351450,X,processed_pseudogene
ENSG00000276467,,17897711,17900333,X,unprocessed_pseudogene
ENSG00000232392,GOT2P7,11334233,11335901,X,processed_pseudogene
ENSG00000225384,,34717440,34717992,X,processed_pseudogene
ENSG00000183304,FAM9A,8790795,8801383,X,protein_coding
ENSG00000235592,,13327937,13329867,X,unprocessed_pseudogene
ENSG00000226179,LINC00685,320990,321851,X,lncRNA
ENSG00000283400,,20443326,20492349,X,lncRNA
ENSG00000126010,GRPR,16123565,16153518,X,protein_coding
ENSG00000283631,,20311838,20317783,X,lncRNA
ENSG00000235211,TMSB10P2,18341216,18341346,X,processed_pseudogene
ENSG00000177324,BEND2,18162931,18220886,X,protein_coding
ENSG00000236929,RPL35AP37,15117437,15117768,X,processed_pseudogene
ENSG00000233247,UBE2E4P,14244382,14244928,X,processed_pseudogene
ENSG00000225066,MDM4P1,17933349,17934823,X,processed_pseudogene
ENSG00000219870,BRK1P1,9179385,9179606,X,processed_pseudogene
ENSG00000236072,SRSF2P1,34387722,34388464,X,processed_pseudogene
ENSG00000185915,KLHL34,21654690,21658330,X,protein_coding
ENSG00000149970,CNKSR2,21372801,21654695,X,protein_coding
ENSG00000234191,LINC01283,39401252,39434824,X,lncRNA
ENSG00000273704,,34768327,34768688,X,unprocessed_pseudogene
ENSG00000235071,,16474342,16475340,X,processed_pseudogene
ENSG00000176812,METTL1P1,25194381,25195207,X,processed_pseudogene
ENSG00000224339,SC4MOP,37945884,37946775,X,processed_pseudogene
ENSG00000237782,PLLPP1,45381527,45381995,X,processed_pseudogene
ENSG00000233921,RPS15AP40,36374793,36375183,X,processed_pseudogene
ENSG00000229384,HMGB1P16,36211096,36211635,X,processed_pseudogene
ENSG00000271136,,34516920,34517358,X,processed_pseudogene
ENSG00000235587,GAPDHP65,46439709,46440714,X,processed_pseudogene
ENSG00000233571,,34206725,34415537,X,lncRNA
ENSG00000213997,PGAM1P7,46646594,46647330,X,processed_pseudogene
ENSG00000286306,,46400686,46402957,X,lncRNA
ENSG00000214019,RBM39P1,44029332,44030921,X,processed_pseudogene
ENSG00000228232,GAPDHP1,39787132,39788136,X,processed_pseudogene
ENSG00000169906,S100G,16650158,16654670,X,protein_coding
ENSG00000270499,MKI67P1,46560928,46562749,X,processed_pseudogene
ENSG00000229347,,35058927,35059974,X,processed_pseudogene
ENSG00000187516,H2AP,37990779,37991314,X,protein_coding
ENSG00000233810,MOB1AP2,37291168,37292227,X,processed_pseudogene
ENSG00000230227,SIAH1P1,35626142,35627064,X,processed_pseudogene
